Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-03-16,KR,THE KROGER CO.,Consumer Staples,Consumer Staples,56.8,67.3,10.5
2026-03-16,KVUE,KENVUE INC.,Consumer Staples,Consumer Staples,-54.0,22.0,76.0
2026-03-16,L,LOEWS ,Financials,Financials,2.4,23.6,21.2
2026-03-16,LDOS,"LEIDOS HOLDINGS, INC.",Industrials,Industrials,4.7,22.8,18.1
2026-03-16,LEN,LENNAR ,Consumer Discretionary,Consumer Discretionary,-0.8,3.0,3.8
2026-03-16,LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,Health Care,11.5,15.7,4.2
2026-03-16,LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,Industrials,-30.4,48.4,78.8
2026-03-16,LII,LENNOX INTERNATIONAL INC.,Industrials,Industrials,-65.5,1.0,66.5
2026-03-16,LIN,LINDE PUBLIC LIMITED COMPANY,Materials,Materials,-11.6,69.6,81.2
2026-03-16,LLY,ELI LILLY AND COMPANY,Health Care,Health Care,-43.6,14.9,58.5
2026-03-16,LMT,LOCKHEED MARTIN ,Industrials,Industrials,-64.1,31.3,95.4
2026-03-16,LNT,ALLIANT ENERGY ,Utilities,Utilities,52.0,64.9,12.9
2026-03-16,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-42.0,4.6,46.6
2026-03-16,LQD,ISHARES:IBOXX $IG CORP,Bonds,Bonds,-17.5,0.6,18.1
2026-03-16,LRCX,LAM RESEARCH ,Information Technology,Information Technology,-44.1,10.5,54.6
2026-03-16,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,Consumer Discretionary,-54.6,31.3,85.9
2026-03-16,LUV,SOUTHWEST AIRLINES CO.,Industrials,Industrials,-85.7,3.4,89.1
2026-03-16,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,Consumer Discretionary,5.6,18.5,12.9
2026-03-16,LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,Consumer Staples,-11.9,0.2,12.1
2026-03-16,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,Materials,73.4,96.6,23.2
2026-03-16,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,Communication Services,-46.1,35.1,81.2
2026-03-16,MA,MASTERCARD INC..,Financials,Financials,-22.0,49.8,71.8
2026-03-16,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,Real Estate,-73.8,5.0,78.8
2026-03-16,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,Consumer Discretionary,-46.7,9.1,55.8
2026-03-16,MAS,MASCO ,Industrials,Industrials,-46.4,1.0,47.4
2026-03-16,MCD,MCDONALD'S ,Consumer Discretionary,Consumer Discretionary,-24.2,36.3,60.5
2026-03-16,MCHI,ISHARES:MSCI CHINA,,Foreign,14.7,25.6,10.9
2026-03-16,MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,Information Technology,-70.2,2.6,72.8
2026-03-16,MCK,MCKESSON ,Health Care,Health Care,10.7,35.9,25.2
2026-03-16,MCO,MOODY'S ,Financials,Financials,-31.7,53.8,85.5
2026-03-16,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,Consumer Staples,4.3,20.4,16.1
2026-03-16,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,Health Care,2.7,6.5,3.8
2026-03-16,MDY,SPDR S&P MIDCAP 400 ETF,,Sector & Style ETFs,-46.8,3.0,49.8
2026-03-16,MET,"METLIFE, INC.",Financials,Financials,-78.2,1.8,80.0
2026-03-16,META,"META PLATFORMS, INC.",Communication Services,Communication Services,-13.1,40.3,53.4
2026-03-16,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Consumer Discretionary,-4.4,62.5,66.9
2026-03-16,MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,Consumer Staples,-89.7,0.2,89.9
2026-03-16,MLM,"MARTIN MARIETTA MATERIALS, INC.",Materials,Materials,-61.5,0.2,61.7
2026-03-16,MMM,3M COMPANY,Industrials,Industrials,0.8,1.0,0.2
2026-03-16,MNST,MONSTER BEVERAGE ,Consumer Staples,Consumer Staples,-41.3,7.7,49.0
2026-03-16,MO,"ALTRIA GROUP, INC.",Consumer Staples,Consumer Staples,23.1,42.3,19.2
2026-03-16,MOH,"MOLINA HEALTHCARE, INC.",Health Care,Health Care,-35.7,64.1,99.8
2026-03-16,MOS,THE MOSAIC COMPANY,Materials,Materials,-15.6,30.6,46.2
2026-03-16,MP,MP MATERIALS CORP,,MR Discretion,46.8,52.6,5.8
2026-03-16,MPC,MARATHON PETROLEUM ,Energy,Energy,72.6,73.2,0.6
2026-03-16,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",Information Technology,Information Technology,-0.4,8.1,8.5
2026-03-16,MRK,"MERCK & CO., INC.",Health Care,Health Care,-62.7,12.5,75.2
2026-03-16,MRNA,"MODERNA, INC.",Health Care,Health Care,-13.9,77.6,91.5
2026-03-16,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Financials,Financials,-3.6,62.1,65.7
2026-03-16,MS,MORGAN STANLEY,Financials,Financials,-54.7,5.8,60.5
2026-03-16,MSCI,MSCI INC.,Financials,Financials,-20.2,77.6,97.8
2026-03-16,MSFT,MICROSOFT ,Information Technology,Information Technology,10.9,49.4,38.5
2026-03-16,MSI,"MOTOROLA SOLUTIONS, INC.",Information Technology,Information Technology,-14.2,54.6,68.8
2026-03-16,MTB,M&T BANK ,Financials,Financials,-79.1,2.6,81.7
2026-03-16,MTCH,"MATCH GROUP, INC.",Communication Services,Communication Services,35.9,47.8,11.9
2026-03-16,MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,Health Care,-12.3,4.2,16.5
2026-03-16,MTUM,ISHARES:MSCI USA MOM FCT,,Sector & Style ETFs,-19.5,21.2,40.7
2026-03-16,MU,"MICRON TECHNOLOGY, INC.",Information Technology,Information Technology,-23.4,38.3,61.7
2026-03-16,MUB,ISHARES:NATL MUNI BOND,,Bonds,-47.6,9.3,56.9
2026-03-16,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,Consumer Discretionary,-56.4,35.5,91.9
2026-03-16,NDAQ,"NASDAQ, INC.",Financials,Financials,-26.6,64.1,90.7
2026-03-16,NDSN,NORDSON ,Industrials,Industrials,-53.8,1.0,54.8
2026-03-16,NDX,NASDAQ 100 INDEX,,Indices,8.0,28.0,20.0
2026-03-16,NEE,"NEXTERA ENERGY, INC.",Utilities,Utilities,23.5,30.8,7.3
2026-03-16,NEM,NEWMONT ,Materials,Materials,-51.6,0.6,52.2
2026-03-16,NFLX,"NETFLIX, INC.",Communication Services,Communication Services,92.1,92.3,0.2
