Date,Ticker,Ticker_name,Close,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_rr_ratio,week_rr_ratio,month_rr_ratio,gap_lt,gap_lt_avg,gap_lt_hi,gap_lt_lo,ST_Trend,st_avg,st_lo,st_hi,MT_Trend,mt_avg,mt_lo,mt_hi,LT_Trend,lt_avg,lt_lo,lt_hi,ST_Trend_Change,MT_Trend_Change,Z-Score Rank,Z-Score,Sharpe,Sharpe_avg,Sharpe_hi,Sharpe_low,Sharpe_Rank,prem_disc,prem_disc_avg,prem_disc_lo,prem_disc_hi,factor,model_score
2026-04-08,EQT,EQT ,60.18,56.03,64.53,56.2,71.16,53.34,77.34,-1.2190201729106622,2.7587939698492474,2.5087719298245634,-11.449999999999996,-5.887643097643097,-3.3584451221541487,-8.416841073132044,-0.01960768,-0.0016157917171717192,-0.027364303864934946,0.024132720430591507,0.0516622,0.003304877718120806,-0.019134625783400323,0.025744381219641937,0.06509858,0.04699723744966437,0.03552210736759655,0.0584723675317322,0.0084336,0.02114695,86.7,1.63,-0.32,0.17569696969696966,0.9662823513606111,-0.6148884119666718,29.2,0.22841833672771705,0.09844156687418748,-0.19920615954804877,0.39608929329642373,0.9,86.0
2026-04-08,HWM,HOWMET AEROSPACE INC.,250.0,222.66,243.79,209.21,278.5,207.42,329.89,-46.0566037735848,-1.4312280701754383,1.876232973226866,-40.68000000000001,-37.26003367003368,-25.981308525885474,-48.53875881418188,-0.00251456,0.00719466397306397,-0.022406707843114885,0.03679603578924283,0.03601858,0.0265705049328859,0.0014813635230450824,0.05165964634272671,0.14446362,0.14336593456375835,0.13430182953015363,0.15243003959736307,0.01402249,0.00451491,95.0,2.38,-0.152,0.5024713804713805,1.4768827447213602,-0.47193998377859914,26.0,0.018864870194006178,0.23899959363551496,-0.1250698771042216,0.6030690643752515,0.745,84.0
2026-04-08,GILD,"GILEAD SCIENCES, INC.",141.54,133.6,143.17,127.6,157.58,124.02,175.12,-4.324324324324338,1.1506456241033016,1.9166666666666679,-16.77000000000001,-10.777609427609422,-5.827003266698278,-15.728215588520566,-0.01629489,0.004620980606060607,-0.018317154717152753,0.02755911592927397,0.04224609,0.013563918322147645,-0.008391095484679098,0.03551893212897439,0.08722267,0.049343274395973045,0.035856323296821244,0.06283022549512485,0.00161643,0.01057211,27.6,-0.81,-0.848,0.24716498316498306,1.130240675713294,-0.6359107093833277,10.1,0.43177017550826413,0.11689942224485038,-0.14803197378542982,0.3818308182751306,0.81,77.0
2026-04-08,XEL,XCEL ENERGY INC.,81.46,76.65,83.21,75.28,87.14,72.66,94.18,-2.2427184466019345,-1.0880281690140818,1.4454545454545473,-6.920000000000002,-4.213535353535352,-1.6952862917012497,-6.7317844153694555,-0.00867332,0.0016512304377104376,-0.014237274520891734,0.01753973539631261,0.01236016,0.003926051845637586,-0.011201510110395087,0.01905361380167026,0.05283031,0.017257296140939567,-0.001544145983841113,0.036058738265720244,0.00057595,0.00969624,69.8,0.81,-0.156,0.13940404040404034,1.0374112551976955,-0.7586031743896149,40.1,0.12132002589652124,0.18118615933193197,-0.16081352014118314,0.5231858388050471,0.797,76.0
2026-04-08,FIX,"COMFORT SYSTEMS USA, INC.",1525.16,1317.26,1515.77,1241.46,1753.28,1168.01,2058.85,-7.1288319751649265,-1.2436436963001938,1.49430211395772,-317.24,-200.25377104377105,-81.98169977380492,-318.5258423137372,-0.00322589,0.012478432895622903,-0.029186921099485983,0.05414378689073179,0.06871212,0.035226310906040254,-0.02815367224651176,0.09860629405859227,0.18028124,0.15237489573825502,0.12197692754722116,0.18277286392928888,0.00792911,0.00592102,61.9,0.65,0.512,0.5526902356902358,1.4118154812194823,-0.3064350098390106,36.3,0.11049916255925041,0.15449132246829683,-0.02163179097013576,0.33061443590672945,0.657,74.0
2026-04-08,NEM,NEWMONT ,118.15,103.12,123.35,96.03,134.7,93.45,161.88,-1.71814671814672,-1.3365558912386724,1.770445344129554,-24.180000000000007,-13.09097643097643,-1.0259615318420519,-25.15599133011081,0.00815275,0.01356874373737374,-0.014499667328169721,0.0416371548029172,0.02077614,0.04287120979865772,0.012729450233877861,0.07301296936343757,0.15942981,0.08065397241610742,0.018966801379212417,0.14234114345300242,0.00997847,0.00866977,65.3,0.77,-0.065,0.6702222222222218,1.5921019839292705,-0.25165753948482683,21.6,0.05467481434728061,0.04761858284510209,-0.2995190995088046,0.39475626519900886,0.745,71.0
2026-04-08,SD,"SANDRIDGE ENERGY, INC.",15.28,14.33,16.53,13.82,17.93,12.97,19.7,-1.2371134020618542,1.8150684931506864,1.9134199134199144,-2.2500000000000018,-0.060808080808081005,0.7187075476879844,-0.8403237093041463,-0.03842818,0.003724615723905726,-0.02929665968902452,0.036745891136835976,0.01375043,0.012739360503355713,-0.03188228026179553,0.05736100126850696,0.00477708,-0.050177516040268426,-0.08265161318510542,-0.017703418895431436,-0.01041557,0.0158238,92.3,1.95,-0.805,0.23468350168350172,1.202775240986454,-0.7334082376194506,15.3,0.3210720409904384,0.21108544733814427,-0.24811573853780744,0.670286633214096,0.72,69.0
2026-04-08,PPLT,ABRDN:PHYSICAL PLATINUM,185.12,164.86,185.03,153.54,209.87,151.02,260.4,-5.791277258566965,-1.2759595959595964,2.2076246334310845,-37.650000000000006,-23.2151851851852,-0.35949858020250147,-46.0708717901679,-0.02643396,0.010859161616161617,-0.02532593175813728,0.04704425499046051,0.00522369,0.047665145167785195,0.004373137671859331,0.09095715266371106,0.14724163,0.08118972604026839,0.027144470792612167,0.1352349812879246,0.00601772,0.00469418,16.9,-1.45,-0.602,0.4605454545454545,1.4259838083452787,-0.5048928992543699,13.7,0.08041854712438568,-0.0340217906438768,-0.30230843697347726,0.23426485568572367,0.685,65.0
2026-04-08,VICI,VICI PROPERTIES INC.,27.73,26.51,28.21,25.42,29.78,24.0,32.74,-1.6231884057970998,-1.126829268292682,1.3431635388739949,-0.8200000000000003,-0.8179124579124579,-0.008416648606773158,-1.6274082672181427,-0.01492914,-0.0029531598316498314,-0.017068610787752916,0.011162291124453253,-0.00278381,-0.013345660604026845,-0.031886631138906725,0.005195309930853036,-0.00415158,-0.008388721845637595,-0.01457685399909098,-0.0022005896921842077,0.00175694,0.00263362,68.3,1.08,-0.876,-0.17442087542087542,0.7867465214632547,-1.1355882723050055,27.6,0.09953930169038161,0.3240471458544463,-0.2969621382409042,0.9450564299497968,0.58,65.0
2026-04-08,ES,EVERSOURCE ENERGY,69.95,65.25,72.17,64.3,75.55,60.59,82.84,-1.787148594377515,-1.0089285714285734,1.3771367521367524,-4.670000000000002,-1.802727272727273,1.3116582089925017,-4.917112754447047,-0.0193938,0.0010734423569023568,-0.0195215970828418,0.021668481796646512,0.00535338,0.004318070771812086,-0.010827515061421576,0.01946365660504575,0.01388406,-0.018769593255033464,-0.04251143448504639,0.004972247974979461,0.00173067,0.00226864,45.0,-0.16,-0.774,0.22464646464646484,1.0010080973445488,-0.5517151680516191,10.5,0.04196999697464543,-0.012240401751365322,-0.34529133310884147,0.32081052960611084,0.67,64.0
