Ticker,Ticker_name,Category,Date,model_score
KDP,KEURIG DR PEPPER INC.,Consumer Staples,2026-05-06,-86.0
MET,"METLIFE, INC.",Financials,2026-05-06,-82.0
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-05-06,-74.0
INDA,ISHARES:MSCI INDIA,Foreign,2026-05-06,-73.0
APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,2026-05-06,-70.0
CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,2026-05-06,-70.0
CNC,CENTENE ,Health Care,2026-05-06,-70.0
INVH,INVITATION HOMES INC.,Real Estate,2026-05-06,-70.0
IWD,ISHARES:RUSS 1000 VL ETF,Sector & Style ETFs,2026-05-06,-70.0
ARES,ARES MANAGEMENT CORP,Financials,2026-05-06,-68.0
