Ticker,Ticker_name,Category,Date,Spread_Quad,Spread_Score
NWSA,NEWS CORP.,Communication Services,2026-05-06,2,146.0314
MCK,MCKESSON ,Health Care,2026-05-06,2,118.4708
ICL,ICL GROUP LTD,MR Discretion,2026-05-06,2,111.4345
BDX,"BECTON, DICKINSON AND COMPANY",Health Care,2026-05-06,2,96.7801
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2026-05-06,2,93.9753
DBA,INVESCO DB MS AGRI,Commodities,2026-05-06,2,83.428
FXC,INVESCO:CANADIAN DOLLAR,Currencies,2026-05-06,2,80.4197
WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,2026-05-06,2,75.7586
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-05-06,2,66.4754
ED,"CONSOLIDATED EDISON, INC.",Utilities,2026-05-06,2,65.8011
