Ticker,Ticker_name,Category,Date,change_pct
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-05-06,-0.2721
TTD,"THE TRADE DESK, INC.",Communication Services,2026-05-06,-0.1474
MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,2026-05-06,-0.1456
CNC,CENTENE ,Health Care,2026-05-06,-0.1233
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2026-05-06,-0.123
DVA,DAVITA INC.,Health Care,2026-05-06,-0.1224
IT,"GARTNER, INC.",Information Technology,2026-05-06,-0.1209
GLATF,GLOBAL ATOMIC ,MR Discretion,2026-05-06,-0.1167
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,2026-05-06,-0.1135
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,2026-05-06,-0.1071
