Ticker,Ticker_name,Category,Date,Spread_Quad,Spread_Score
UNH,UNITEDHEALTH GROUP INC.,Health Care,2026-05-06,3,76.662
INDA,ISHARES:MSCI INDIA,Foreign,2026-05-06,3,42.7401
SBAC,SBA COMMUNICATIONS ,Real Estate,2026-05-06,3,33.6973
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-05-06,3,24.1245
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-05-06,3,21.6637
META,"META PLATFORMS, INC.",Communication Services,2026-05-06,3,18.2787
TPL,TEXAS PACIFIC LAND ,Energy,2026-05-06,3,17.8132
LII,LENNOX INTERNATIONAL INC.,Industrials,2026-05-06,3,16.8079
SYY,SYSCO ,Consumer Staples,2026-05-06,3,15.305
FICO,FAIR ISAAC ,Information Technology,2026-05-06,3,13.1114
