Ticker,Ticker_name,Category,Date,model_score_wtd_change,current_model_score,previous_model_score
SYF,SYNCHRONY FINANCIAL,Financials,2026-02-24,-113.0,-36.0,77.0
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,2026-02-24,-103.0,-26.0,77.0
TROW,"T. ROWE PRICE GROUP, INC.",Financials,2026-02-24,-93.0,-10.0,83.0
KEYS,"KEYSIGHT TECHNOLOGIES, INC.",Information Technology,2026-02-24,-91.0,-30.0,61.0
DAL,"DELTA AIR LINES, INC.",Industrials,2026-02-24,-89.0,-34.0,55.0
ADBE,ADOBE INC.,Information Technology,2026-02-24,-84.0,-32.0,52.0
CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,2026-02-24,-83.0,-16.0,67.0
IDXX,"IDEXX LABORATORIES, INC.",Health Care,2026-02-24,-83.0,18.0,101.0
DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,2026-02-24,-82.0,-49.0,33.0
IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,2026-02-24,-82.0,-10.0,72.0
