Ticker,Ticker_name,Category,Date,volume
INTC,INTEL ,Information Technology,2026-05-06,633.6
NVDA,NVIDIA ,Information Technology,2026-05-06,555.78
PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,2026-05-06,249.02
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-05-06,236.97
AAPL,APPLE INC.,Information Technology,2026-05-06,234.23
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2026-05-06,228.25
TSLA,"TESLA, INC.",Consumer Discretionary,2026-05-06,215.35
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2026-05-06,206.25
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-05-06,198.27
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-05-06,186.37
