Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-05-07,GE,GENERAL ELECTRIC COMPANY,305.83,0.0668,269.75,305.34,,10.0,75.0
2026-05-07,MPC,MARATHON PETROLEUM ,245.78,-0.0565,240.2,272.0,4.698924731182785,8.0,73.0
2026-05-07,AIZ,"ASSURANT, INC.",236.61,-0.0022,224.97,246.35,-1.195071868583166,-12.0,69.0
2026-05-07,STNG,SCORPIO TANKERS INC.,82.56,-0.0469,80.9,90.21,4.608433734939763,5.0,66.0
2026-05-07,TXT,TEXTRON INC.,93.09,0.0159,88.43,99.52,1.3798283261802569,58.0,60.0
2026-05-07,GS,"THE GOLDMAN SACHS GROUP, INC.",937.35,0.0201,897.03,954.52,-2.3482818870122393,-32.0,-58.0
2026-05-07,YUM,"YUM! BRANDS, INC.",156.02,0.0138,150.07,162.03,1.010084033613441,-26.0,-59.0
2026-05-07,EL,THE ESTEE LAUDER COMPANIES INC.,86.67,0.0461,78.55,91.05,-1.8538812785388157,-53.0,-60.0
2026-05-07,AMT,AMERICAN TOWER ,180.16,0.0115,174.87,186.92,1.2778827977315692,-20.0,-73.0
2026-05-07,L,LOEWS ,105.29,-0.0085,100.33,113.66,1.6874999999999953,-26.0,-81.0
