Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,ChaseScore,model_score
NXPI,NXP SEMICONDUCTORS NV,Information Technology,2026-05-06,0.1189,0.0566,0.0003,0.0086,-0.534,-0.5963,-50.0
GGB,GERDAU SA,MR Discretion,2026-05-06,0.0386,0.0041,0.0031,0.0177,-0.4433,-0.4779,-23.0
AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,2026-05-06,0.0318,0.0096,0.0008,0.0034,-0.4089,-0.4311,-17.0
QCOM,QUALCOMM INC.,Information Technology,2026-05-06,0.1191,0.0878,0.0036,0.0409,-0.3705,-0.4018,-17.0
INTC,INTEL ,Information Technology,2026-05-06,0.169,0.1514,0.0103,0.0216,-0.2587,-0.2763,-23.0
BEN,"FRANKLIN RESOURCES, INC.",Financials,2026-05-06,0.0538,0.0221,0.0001,0.0007,-0.2387,-0.2704,-51.0
LII,LENNOX INTERNATIONAL INC.,Industrials,2026-05-06,0.0236,0.0104,0.0113,0.0014,-0.1977,-0.2109,-50.0
ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,2026-05-06,0.0347,0.0344,0.0006,0.0021,-0.1586,-0.1589,-27.0
ELV,"ELEVANCE HEALTH, INC.",Health Care,2026-05-06,0.0573,0.0154,0.0032,0.0102,-0.0958,-0.1377,-27.0
VNM,VANECK:VIETNAM,Foreign,2026-05-06,0.0164,0.0009,0.0014,0.0081,-0.1211,-0.1366,-17.0
