Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-02-27,SMH,VANECK:SEMICONDUCTOR,412.01,-0.0073,387.55,454.01,1.7170891251022091,84.0,40.0
2026-02-27,MU,"MICRON TECHNOLOGY, INC.",415.56,-0.0295,393.3,508.03,4.154088050314466,77.0,51.0
2026-02-27,WBD,"WARNER BROS. DISCOVERY, INC.",28.8,0.0017,27.49,32.28,2.656488549618316,76.0,-5.0
2026-02-27,BLK,"BLACKROCK, INC.",1090.27,-0.0031,1007.33,1164.17,-1.1223274695534484,75.0,0.0
2026-02-27,AMD,"ADVANCED MICRO DEVICES, INC.",203.68,0.0176,175.32,233.06,1.0359661495063464,74.0,28.0
2026-02-27,MPC,MARATHON PETROLEUM ,201.07,0.0219,174.91,226.97,-1.0100386100386096,-100.0,-37.0
2026-02-27,LII,LENNOX INTERNATIONAL INC.,544.41,-0.0296,507.61,623.04,2.136684782608698,-102.0,-85.0
2026-02-27,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,80.94,-0.0055,75.21,93.22,2.1431064572425815,-102.0,-32.0
2026-02-27,NSC,NORFOLK SOUTHERN ,313.01,-0.0102,295.51,340.02,1.543428571428571,-102.0,-22.0
2026-02-27,AVB,"AVALONBAY COMMUNITIES, INC.",179.67,0.0128,165.29,187.14,-1.9250334672021416,-102.0,-39.0
