Ticker,Ticker_name,Category,Date,mtd_return_pct
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2026-05-06,0.2889
SNDK,SANDISK CORPORATION,Information Technology,2026-05-06,0.2859
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-05-06,0.265
DVA,DAVITA INC.,Health Care,2026-05-06,0.2497
DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,2026-05-06,0.2059
ORCL,ORACLE ,Information Technology,2026-05-06,0.2022
INTC,INTEL ,Information Technology,2026-05-06,0.1961
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2026-05-06,0.1887
AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,2026-05-06,0.1846
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,2026-05-06,0.1813
