Date,Ticker,Ticker_name,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-03-16,JNJ,JOHNSON & JOHNSON,241.52,-0.0278,206.77,291.84,1.4480575539568334,84.0,83.0
2026-03-16,AME,"AMETEK, INC.",214.49,-0.1034,201.51,263.45,3.7719568567026127,83.0,111.0
2026-03-16,GILD,"GILEAD SCIENCES, INC.",144.99,-0.0266,130.99,179.4,2.4578571428571427,79.0,120.0
2026-03-16,DGX,QUEST DIAGNOSTICS INC.,199.7,-0.0576,181.43,233.69,1.860426929392449,77.0,128.0
2026-03-16,NEE,"NEXTERA ENERGY, INC.",92.78,-0.0106,82.07,106.88,1.3165266106442561,76.0,59.0
2026-03-16,FISV,"FISERV, INC.",56.74,-0.0891,40.78,78.76,1.379699248120301,-83.0,-25.0
2026-03-16,JKHY,"JACK HENRY & ASSOCIATES, INC.",168.77,0.0388,141.44,193.51,-1.1046887631366222,-93.0,-93.0
2026-03-16,MOH,"MOLINA HEALTHCARE, INC.",149.2,-0.0315,93.42,200.98,-1.0772499034376204,-93.0,-88.0
2026-03-16,DPZ,"DOMINO'S PIZZA, INC.",401.63,-0.0022,342.58,448.06,-1.2718070213224208,-100.0,-115.0
2026-03-16,FFIV,"F5, INC.",289.31,0.0661,234.66,346.96,1.0548947849954249,-102.0,-110.0
