Date,Ticker,Ticker_name,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-05-07,MU,"MICRON TECHNOLOGY, INC.",666.59,0.2889,353.76,836.94,-1.836395656002348,-8.0,33.0
2026-05-07,SNDK,SANDISK CORPORATION,1409.98,0.2859,705.42,3056.52,2.3369762688770295,46.0,53.0
2026-05-07,SMCI,"SUPER MICRO COMPUTER, INC.",34.66,0.265,16.8,38.89,-4.222222222222217,-27.0,23.0
2026-05-07,DVA,DAVITA INC.,193.88,0.2497,129.77,201.69,-8.20870678617157,-60.0,-70.0
2026-05-07,DOC,"HEALTHDOC PROPERTIES, INC.",19.5,0.2059,14.48,20.23,-6.876712328767119,-28.0,-54.0
2026-05-07,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",319.54,-0.1228,285.68,468.56,4.4010632014176,12.0,20.0
2026-05-07,TECH,BIO-TECHNE ,47.41,-0.143,41.71,66.51,3.3508771929824603,2.0,15.0
2026-05-07,ANET,"ARISTA NETWORKS, INC.",147.06,-0.1485,113.29,228.24,2.4039087947882742,-8.0,69.0
2026-05-07,COR,"CENCORA, INC.",252.74,-0.1794,247.74,357.8,21.012,-6.0,-23.0
2026-05-07,CDW,CDW ,109.0,-0.2039,98.45,152.44,4.1175355450236975,-11.0,19.0
