Ticker,Ticker_name,Category,Date,model_score_day_change,current_model_score,previous_model_score
L,LOEWS ,Financials,2026-05-06,-81.0,-26.0,55.0
AMT,AMERICAN TOWER ,Real Estate,2026-05-06,-73.0,-20.0,53.0
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2026-05-06,-60.0,-53.0,7.0
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2026-05-06,-59.0,-26.0,33.0
GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,2026-05-06,-58.0,-32.0,26.0
CVX,CHEVRON ,Energy,2026-05-06,-57.0,-18.0,39.0
EWO,ISHARES:MSCI AUSTRIA,Foreign,2026-05-06,-57.0,-60.0,-3.0
ED,"CONSOLIDATED EDISON, INC.",Utilities,2026-05-06,-55.0,-9.0,46.0
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,2026-05-06,-53.0,-16.0,37.0
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2026-05-06,-52.0,-37.0,15.0
