Ticker,Ticker_name,Category,Date,model_score,R/R Ratio
INDA,ISHARES:MSCI INDIA,Foreign,2026-05-06,-73.0,-5.0
IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,2026-05-06,-67.0,-3.4
EWO,ISHARES:MSCI AUSTRIA,Foreign,2026-05-06,-60.0,-18.8
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-05-06,-58.0,-4.0
UBER,"UBER TECHNOLOGIES, INC.",Industrials,2026-05-06,-57.0,-16.0
EDEN,ISHARES:MSCI DENMARK,Foreign,2026-05-06,-54.0,-3.6
CCL,CARNIVAL CORP,Consumer Discretionary,2026-05-06,-53.0,-9.4
BF.B,BROWN-FORMAN ,Consumer Staples,2026-05-06,-49.0,-18.6
UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,2026-05-06,-48.0,-13.6
AVY,AVERY DENNISON ,Materials,2026-05-06,-45.0,-5.5
