Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-02-19,ECH,ISHARES:MSCI CHILE,,Foreign,-62.7,15.7,78.4
2026-02-19,ECL,ECOLAB INC.,Materials,Materials,-8.4,84.3,92.7
2026-02-19,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,-7.9,91.5,99.4
2026-02-19,EDEN,ISHARES:MSCI DENMARK,,Foreign,-60.8,20.0,80.8
2026-02-19,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,46.0,95.4,49.4
2026-02-19,EFNL,ISHARES:MSCI FINLAND,,Foreign,11.7,52.6,40.9
2026-02-19,EFX,EQUIFAX INC.,Industrials,Industrials,12.3,39.5,27.2
2026-02-19,EG,"EVEREST GROUP, LTD.",Financials,Financials,55.0,89.5,34.5
2026-02-19,EIDO,ISHARES:MSCI INDONESIA,,Foreign,0.6,32.1,31.5
2026-02-19,EIRL,ISHARES:MSCI IRELAND,,Foreign,-49.6,18.5,68.1
2026-02-19,EIS,ISHARES:MSCI ISRAEL,,Foreign,-27.8,64.9,92.7
2026-02-19,EIX,EDISON INTERNATIONAL,Utilities,Utilities,32.1,99.8,67.7
2026-02-19,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,-44.9,32.3,77.2
2026-02-19,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,-5.6,36.7,42.3
2026-02-19,EME,"EMCOR GROUP, INC.",Industrials,Industrials,-23.0,67.3,90.3
2026-02-19,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,-28.6,48.6,77.2
2026-02-19,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,-54.3,42.3,96.6
2026-02-19,EOG,"EOG RESOURCES, INC.",Energy,Energy,10.3,98.6,88.3
2026-02-19,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,-43.3,10.5,53.8
2026-02-19,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,-13.7,64.7,78.4
2026-02-19,EPOL,ISHARES:MSCI POLAND,,Foreign,-20.8,54.2,75.0
2026-02-19,EPU,ISHARES:MSCI PERU,,Foreign,-49.2,30.0,79.2
2026-02-19,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,-0.2,89.3,89.5
2026-02-19,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,19.2,75.2,56.0
2026-02-19,EQT,EQT ,Energy,Energy,3.6,76.4,72.8
2026-02-19,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,-2.4,53.8,56.2
