Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-05-07,SPX,S&P 500 INDEX,7365.12,0.0187,6764.25,7816.16,-1.3321878325647392,-51.0,0.0
2026-05-07,NDX,NASDAQ 100 INDEX,28599.17,0.0321,25720.2,30418.96,-1.5820341907582722,-51.0,0.0
2026-05-07,DJI,DOW JONES INDUSTRIAL AVG INDEX,49910.59,0.0083,46348.56,52208.15,-1.550353418409091,-44.0,-10.0
2026-05-07,RUT,RUSSELL 2000 INDEX,2886.77,0.0263,2650.9,3003.09,-2.0277682255845906,-34.0,0.0
2026-05-07,XLB,SEL SECTOR:MATRLS SPDR,52.41,0.0206,47.3,55.92,-1.4558404558404536,-9.0,-13.0
2026-05-07,XLC,SEL SECTOR:COMM SVC SPDR,117.35,0.0054,108.41,123.61,-1.4281150159744394,-26.0,9.0
2026-05-07,XLE,SEL SECTOR:ENERGY SPDR,57.0,-0.0314,53.14,66.29,2.4067357512953387,10.0,-21.0
2026-05-07,XLF,SEL SECTOR:FINL S SPDR,51.84,-0.0015,48.68,54.46,-1.2061068702290103,-26.0,-8.0
2026-05-07,XLI,SEL SECTOR:INDUST SPDR,176.87,0.0226,158.25,187.51,-1.7500000000000027,-27.0,-1.0
2026-05-07,XLK,SEL SECTOR:TECH SPDR,170.03,0.0504,148.89,183.39,-1.5823353293413203,-9.0,44.0
2026-05-07,XLP,SEL SECTOR:C STP SPDR,84.24,0.0008,78.95,88.44,-1.2595238095238068,-12.0,-21.0
2026-05-07,XLRE,SEL SECTOR:RL EST SPDR,44.74,0.0095,41.02,47.99,-1.1446153846153844,-20.0,33.0
2026-05-07,XLU,SEL SECTOR:UTIL SPDR,45.71,-0.018,42.84,50.47,1.6585365853658545,33.0,-11.0
2026-05-07,XLV,SEL SECTOR:H CARE SPDR,145.4,0.0017,135.29,151.81,-1.57722308892356,4.0,48.0
2026-05-07,XLY,SEL SECTOR:C DSC SPDR,119.87,0.0105,110.37,128.28,-1.1296076099881098,-27.0,26.0
2026-05-07,GLD,SPDR GOLD,430.96,0.0184,376.37,456.46,-2.140784313725489,58.0,26.0
2026-05-07,DXY,US DOLLAR INDEX,98.01,-0.002,95.72,101.45,1.502183406113532,-4.0,30.0
2026-05-07,TLT,ISHARES:20+ TRS BD ETF,86.08,0.0055,80.63,90.88,-1.1354166666666679,-5.0,-41.0
2026-05-07,BTC=F,BITCOIN FUTURES,81550.0,0.0426,73943.41,86987.36,-1.3989491223682073,-17.0,34.0
