Ticker,Ticker_name,Category,Date,daily_return_pct
CDW,CDW ,Information Technology,2026-05-06,-0.2032
COR,"CENCORA, INC.",Health Care,2026-05-06,-0.1738
TECH,BIO-TECHNE ,Health Care,2026-05-06,-0.1636
ANET,"ARISTA NETWORKS, INC.",Information Technology,2026-05-06,-0.1361
SWKS,"SKYWORKS SOLUTIONS, INC.",Information Technology,2026-05-06,-0.1046
PODD,INSULET ,Health Care,2026-05-06,-0.097
CTRA,COTERRA ENERGY INC.,Energy,2026-05-06,-0.0862
DVN,DEVON ENERGY ,Energy,2026-05-06,-0.0861
SM,SM ENERGY COMPANY,MR Discretion,2026-05-06,-0.0852
APA,APA ,Energy,2026-05-06,-0.0767
