Ticker,Ticker_name,Category,Date,model_score,R/R Ratio
EC,ECOPETROL SA,MR Discretion,2026-05-06,86.0,4.7
LNT,ALLIANT ENERGY ,Utilities,2026-05-06,79.0,4.1
KMI,"KINDER MORGAN, INC.",Energy,2026-05-06,64.0,5.6
WMB,"THE WILLIAMS COMPANIES, INC.",Energy,2026-05-06,62.0,16.3
USO,UNITED STATES OIL FUND,Commodities,2026-05-06,55.0,13.5
DBC,INVESCO DB CM IDX,Commodities,2026-05-06,52.0,15.5
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2026-05-06,51.0,47.2
APA,APA ,Energy,2026-05-06,45.0,18.4
VLO,VALERO ENERGY ,Energy,2026-05-06,45.0,7.8
NEE,"NEXTERA ENERGY, INC.",Utilities,2026-05-06,44.0,3.1
