Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-03-13,TSN,"TYSON FOODS, INC.",Consumer Staples,Consumer Staples,75.0,64.0,-11.0
2026-03-13,TT,TRANE TECHNOLOGIES PLC,Industrials,Industrials,28.0,12.0,-16.0
2026-03-13,TTD,"THE TRADE DESK, INC.",Communication Services,Communication Services,-76.0,-69.0,7.0
2026-03-13,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,Communication Services,-42.0,-66.0,-24.0
2026-03-13,TUR,ISHARES:MSCI TURKEY,,Foreign,28.0,37.0,9.0
2026-03-13,TXN,TEXAS INSTRUMENTS INC.,Information Technology,Information Technology,24.0,28.0,4.0
2026-03-13,TXT,TEXTRON INC.,Industrials,Industrials,27.0,32.0,5.0
2026-03-13,TYL,"TYLER TECHNOLOGIES, INC.",Information Technology,Information Technology,-23.0,-76.0,-53.0
2026-03-13,TYX,30 Y TSY YLD NDX,Yields,Yields,-30.0,-34.0,-4.0
2026-03-13,UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,Industrials,-57.0,-20.0,37.0
2026-03-13,UBER,"UBER TECHNOLOGIES, INC.",Industrials,Industrials,-42.0,-52.0,-10.0
2026-03-13,UDR,"UDR, INC.",Real Estate,Real Estate,17.0,-9.0,-26.0
2026-03-13,UHS,"UNIVERSAL HEALTH SERVICES, INC.",Health Care,Health Care,-2.0,0.0,2.0
2026-03-13,ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,Consumer Discretionary,-53.0,-29.0,24.0
2026-03-13,UNG,UNITED STATES NAT GAS,Energy Complex,Commodities,-3.0,-12.0,-9.0
2026-03-13,UNH,UNITEDHEALTH GROUP INC.,Health Care,Health Care,10.0,-52.0,-62.0
2026-03-13,UNP,UNION PACIFIC ,Industrials,Industrials,-2.0,3.0,5.0
2026-03-13,UPS,"UNITED PARCEL SERVICE, INC.",Industrials,Industrials,33.0,37.0,4.0
2026-03-13,URA,GLBL X URANIUM ETF,,Commodities,32.0,8.0,-24.0
2026-03-13,URI,"UNITED RENTALS, INC.",Industrials,Industrials,24.0,-20.0,-44.0
