Ticker,Ticker_name,Exposure,Date,wtd_pct_change
BG,BUNGE LIMITED,Consumer Staples,2026-02-20,-0.0047
CAG,"CONAGRA BRANDS, INC.",Consumer Staples,2026-02-20,-0.0653
CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,2026-02-20,0.0161
CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,2026-02-20,-0.0163
CLX,THE CLOROX COMPANY,Consumer Staples,2026-02-20,-0.0186
COST,COSTCO WHOLESALE ,Consumer Staples,2026-02-20,-0.0326
CPB,CAMPBELL SOUP COMPANY,Consumer Staples,2026-02-20,-0.0902
DG,DOLLAR GENERAL ,Consumer Staples,2026-02-20,-0.0208
DLTR,"DOLLAR TREE, INC.",Consumer Staples,2026-02-20,0.067
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2026-02-20,0.0553
GIS,"GENERAL MILLS, INC.",Consumer Staples,2026-02-20,-0.077
HRL,HORMEL FOODS ,Consumer Staples,2026-02-20,0.0509
HSY,THE HERSHEY COMPANY,Consumer Staples,2026-02-20,-0.0036
KDP,KEURIG DR PEPPER INC.,Consumer Staples,2026-02-20,-0.0051
KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,2026-02-20,-0.0161
KMB,KIMBERLY-CLARK ,Consumer Staples,2026-02-20,-0.0036
KO,THE COCA-COLA COMPANY,Consumer Staples,2026-02-20,0.0147
KR,THE KROGER CO.,Consumer Staples,2026-02-20,-0.0686
KVUE,KENVUE INC.,Consumer Staples,2026-02-20,0.0011
LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,2026-02-20,-0.0311
MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,2026-02-20,-0.0606
MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,2026-02-20,-0.0418
MNST,MONSTER BEVERAGE ,Consumer Staples,2026-02-20,0.028
MO,"ALTRIA GROUP, INC.",Consumer Staples,2026-02-20,0.0048
