Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-02-18,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,24.1,0.1215,21.5,25.12,-2.5490196078431397,-36.0,-44.0
2026-02-18,FISV,"FISERV, INC.",63.45,0.0689,56.16,64.28,-8.783132530120508,-44.0,-9.0
2026-02-18,LUV,SOUTHWEST AIRLINES CO.,54.26,0.0616,48.49,60.36,1.0571923743500877,10.0,3.0
2026-02-18,CEG,CONSTELLATION ENERGY,303.01,0.0506,257.2,308.88,-7.804088586030659,-22.0,-10.0
2026-02-18,PSKY,PARAMOUNT SKYDANCE ,10.83,0.0494,9.91,11.19,-2.5555555555555594,65.0,40.0
2026-02-18,FDS,FACTSET RESEARCH SYSTEMS INC.,190.06,-0.0764,168.55,205.13,-1.4273390842733908,0.0,0.0
2026-02-18,VMC,VULCAN MATERIALS COMPANY,302.22,-0.0776,300.46,339.11,20.960227272726698,-2.0,41.0
2026-02-18,LDOS,"LEIDOS HOLDINGS, INC.",161.53,-0.0838,154.66,190.11,4.160116448326054,-29.0,-19.0
2026-02-18,ALLE,ALLEGION PUBLIC LIMITED COMPANY,162.67,-0.0938,165.17,188.36,,15.0,79.0
2026-02-18,GPC,GENUINE PARTS COMPANY,125.74,-0.1456,131.47,155.91,,21.0,8.0
