Ticker,Ticker_name,Category,Date,wtd_return_pct
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-05-06,0.2794
DVA,DAVITA INC.,Health Care,2026-05-06,0.2785
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2026-05-06,0.2294
SNDK,SANDISK CORPORATION,Information Technology,2026-05-06,0.1879
DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,2026-05-06,0.1876
AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,2026-05-06,0.1744
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,2026-05-06,0.1712
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2026-05-06,0.1688
LRCX,LAM RESEARCH ,Information Technology,2026-05-06,0.1576
GLW,CORNING INC.,Information Technology,2026-05-06,0.1473
