Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-04-13,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,-1.5,68.5,70.0
2026-04-13,HPQ,HP INC.,Information Technology,Information Technology,25.0,64.1,39.1
2026-04-13,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,-4.4,1.8,6.2
2026-04-13,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,0.0,50.6,50.6
2026-04-13,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,8.0,89.5,81.5
2026-04-13,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,-5.2,6.5,11.7
2026-04-13,HUBB,HUBBELL INC.,Industrials,Industrials,3.9,95.0,91.1
2026-04-13,HUM,HUMANA INC.,Health Care,Health Care,2.7,94.6,91.9
2026-04-13,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,14.8,57.5,42.7
2026-04-13,HYD,VANECK:HIGH YIELD MUNI,,Bonds,-6.3,68.5,74.8
2026-04-13,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,17.1,85.9,68.8
2026-04-13,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,9.7,69.8,60.1
2026-04-13,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,11.9,29.6,17.7
2026-04-13,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,7.9,59.7,51.8
2026-04-13,ICL,ICL GROUP LTD,,MR Discretion,25.0,54.2,29.2
2026-04-13,IDXX,"IDEXX LABORATORIES, INC.",Health Care,Health Care,9.1,45.8,36.7
2026-04-13,IEF,ISHARES:7-10 TRS BD ETF,Bonds,Bonds,8.3,51.4,43.1
2026-04-13,IEX,IDEX ,Industrials,Industrials,9.9,87.1,77.2
2026-04-13,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,Materials,-2.4,63.3,65.7
2026-04-13,INCY,INCYTE ,Health Care,Health Care,-2.8,58.5,61.3
2026-04-13,INDA,ISHARES:MSCI INDIA,,Foreign,5.9,71.2,65.3
2026-04-13,INTC,INTEL ,Information Technology,Information Technology,5.9,98.2,92.3
2026-04-13,INTU,INTUIT INC.,Information Technology,Information Technology,6.7,20.8,14.1
2026-04-13,INVH,INVITATION HOMES INC.,Real Estate,Real Estate,0.8,97.4,96.6
2026-04-13,IP,INTERNATIONAL PAPER COMPANY,Materials,Materials,-11.1,48.2,59.3
2026-04-13,IQV,IQVIA HOLDINGS INC,Health Care,Health Care,10.7,63.7,53.0
2026-04-13,IR,INGERSOLL RAND INC.,Industrials,Industrials,5.2,63.7,58.5
2026-04-13,IRM,IRON MOUNTAIN INC.,Real Estate,Real Estate,6.7,57.7,51.0
2026-04-13,ISRG,"INTUITIVE SURGICAL, INC.",Health Care,Health Care,19.8,44.6,24.8
2026-04-13,IT,"GARTNER, INC.",Information Technology,Information Technology,11.5,47.4,35.9
2026-04-13,ITW,ILLINOIS TOOL WORKS INC.,Industrials,Industrials,9.4,65.9,56.5
2026-04-13,IVZ,INVESCO LTD.,Financials,Financials,10.1,53.6,43.5
2026-04-13,IWD,ISHARES:RUSS 1000 VL ETF,,Sector & Style ETFs,16.3,75.0,58.7
2026-04-13,IWF,ISHARES:RUSS 1000 GR ETF,,Sector & Style ETFs,12.7,56.2,43.5
2026-04-13,IWM,ISHARES:RUSS 2000 ETF,,Sector & Style ETFs,16.8,81.7,64.9
2026-04-13,J,JACOBS SOLUTIONS INC.,Industrials,Industrials,12.7,27.6,14.9
2026-04-13,JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,Industrials,2.4,97.0,94.6
2026-04-13,JBL,JABIL INC.,Information Technology,Information Technology,3.0,76.0,73.0
2026-04-13,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Industrials,4.7,70.0,65.3
2026-04-13,JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,Financials,9.1,10.9,1.8
2026-04-13,JNJ,JOHNSON & JOHNSON,Health Care,Health Care,-0.2,15.1,15.3
2026-04-13,JNK,SPDR BBG HIGH YIELD BD,,Bonds,12.3,82.7,70.4
2026-04-13,JPM,JPMORGAN CHASE & CO.,Financials,Financials,4.2,93.5,89.3
2026-04-13,KDP,KEURIG DR PEPPER INC.,Consumer Staples,Consumer Staples,-15.8,28.8,44.6
2026-04-13,KEY,KEYCORP,Financials,Financials,11.5,95.4,83.9
2026-04-13,KEYS,"KEYSIGHT TECHNOLOGIES, INC.",Information Technology,Information Technology,11.5,87.9,76.4
2026-04-13,KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,Consumer Staples,-15.1,70.4,85.5
2026-04-13,KIM,KIMCO REALTY .,Real Estate,Real Estate,2.7,57.3,54.6
