Metric,15D,30D,90D
S&P 500 (SPX),-0.8,-0.58,-0.32
Nasdaq 100 (NDX),-0.63,-0.5,-0.26
Russell 2000 (RUT),-0.84,-0.57,-0.27
Financials (XLF),-0.47,-0.49,-0.1
Utilities (XLU),-0.05,-0.15,-0.35
Long Treasuries (TLT),-0.93,-0.91,-0.86
