Ticker,Ticker_name,Category,Date,qtd_return_pct
VIX,CBOE MKT VOLATILITY IDX,Volatility,2026-05-06,-0.3113
TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,2026-05-06,-0.2819
PODD,INSULET ,Health Care,2026-05-06,-0.2791
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-05-06,-0.275
BTU,PEABODY ENERGY ,MR Discretion,2026-05-06,-0.2425
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2026-05-06,-0.2352
EPAM,"EPAM SYSTEMS, INC.",Information Technology,2026-05-06,-0.21
COR,"CENCORA, INC.",Health Care,2026-05-06,-0.1955
APTV,APTIV PLC,Consumer Discretionary,2026-05-06,-0.182
NOC,NORTHROP GRUMMAN ,Industrials,2026-05-06,-0.1798
