Ticker,Ticker_name,Category,Date,volume
NVDA,NVIDIA ,Information Technology,2026-04-16,1590.29
INTC,INTEL ,Information Technology,2026-04-16,1320.37
TSLA,"TESLA, INC.",Consumer Discretionary,2026-04-16,777.2
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2026-04-16,694.1600000000001
PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,2026-04-16,602.97
XLE,SEL SECTOR:ENERGY SPDR,Sector & Style ETFs,2026-04-16,579.76
QQQ,INVESCO QQQ TRUST 1,Sector & Style ETFs,2026-04-16,525.72
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-04-16,510.92999999999995
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-04-16,504.71999999999997
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2026-04-16,499.80999999999995
