Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-02-13,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,15.0,-43.0,-58.0
2026-02-13,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,68.0,7.0,-61.0
2026-02-13,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,17.0,0.0,-17.0
2026-02-13,GEV,GE VERNOVA INC.,Industrials,Industrials,36.0,21.0,-15.0
2026-02-13,GGB,GERDAU SA,,MR Discretion,57.0,33.0,-24.0
2026-02-13,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,-78.0,-32.0,46.0
2026-02-13,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,-23.0,-53.0,-30.0
2026-02-13,GL,GLOBE LIFE INC.,Financials,Financials,31.0,-12.0,-43.0
2026-02-13,GLATF,GLOBAL ATOMIC ,,MR Discretion,25.0,11.0,-14.0
2026-02-13,GLD,SPDR GOLD,Gold,Commodities,-9.0,-16.0,-7.0
2026-02-13,GLW,CORNING INC.,Information Technology,Information Technology,-8.0,-9.0,-1.0
2026-02-13,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,54.0,22.0,-32.0
2026-02-13,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,-36.0,-28.0,8.0
2026-02-13,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,-75.0,-12.0,63.0
2026-02-13,GOOGL,ALPHABET INC.,Communication Services,Communication Services,-88.0,-11.0,77.0
2026-02-13,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,Consumer Discretionary,-58.0,-14.0,44.0
2026-02-13,GPN,GLOBAL PAYMENTS INC.,Financials,Financials,64.0,12.0,-52.0
2026-02-13,GREK,GLBL X MSCI GREECE,,Foreign,-23.0,-16.0,7.0
2026-02-13,GRMN,GARMIN LTD,Consumer Discretionary,Consumer Discretionary,56.0,21.0,-35.0
2026-02-13,GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,Financials,-29.0,-10.0,19.0
2026-02-13,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,30.0,-27.0,-57.0
2026-02-13,HAL,HALLIBURTON COMPANY,Energy,Energy,41.0,17.0,-24.0
2026-02-13,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,-40.0,-11.0,29.0
2026-02-13,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,67.0,26.0,-41.0
2026-02-13,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,6.0,-9.0,-15.0
2026-02-13,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,-66.0,-49.0,17.0
2026-02-13,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,-7.0,-35.0,-28.0
2026-02-13,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,77.0,31.0,-46.0
2026-02-13,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,30.0,20.0,-10.0
2026-02-13,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,-31.0,-35.0,-4.0
2026-02-13,HOLX,"HOLOGIC, INC.",Health Care,Health Care,-9.0,-10.0,-1.0
2026-02-13,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,-21.0,-35.0,-14.0
2026-02-13,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,41.0,-0.0,-41.0
2026-02-13,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,81.0,40.0,-41.0
2026-02-13,HPQ,HP INC.,Information Technology,Information Technology,57.0,44.0,-13.0
2026-02-13,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,50.0,19.0,-31.0
2026-02-13,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,19.0,25.0,6.0
2026-02-13,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,39.0,-40.0,-79.0
2026-02-13,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,-69.0,-49.0,20.0
2026-02-13,HUBB,HUBBELL INC.,Industrials,Industrials,-23.0,1.0,24.0
2026-02-13,HUM,HUMANA INC.,Health Care,Health Care,30.0,0.0,-30.0
2026-02-13,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,-58.0,-20.0,38.0
2026-02-13,HYD,VANECK:HIGH YIELD MUNI,,Bonds,31.0,7.0,-24.0
2026-02-13,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,17.0,7.0,-10.0
2026-02-13,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,38.0,44.0,6.0
2026-02-13,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,2.0,11.0,9.0
2026-02-13,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,38.0,2.0,-36.0
2026-02-13,ICL,ICL GROUP LTD,,MR Discretion,-32.0,-20.0,12.0
2026-02-13,IDXX,"IDEXX LABORATORIES, INC.",Health Care,Health Care,-65.0,-10.0,55.0
2026-02-13,IEF,ISHARES:7-10 TRS BD ETF,Bonds,Bonds,-45.0,-28.0,17.0
2026-02-13,IEX,IDEX ,Industrials,Industrials,10.0,-31.0,-41.0
2026-02-13,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,Materials,-49.0,-43.0,6.0
2026-02-13,INCY,INCYTE ,Health Care,Health Care,4.0,63.0,59.0
2026-02-13,INDA,ISHARES:MSCI INDIA,,Foreign,-16.0,-38.0,-22.0
2026-02-13,INTC,INTEL ,Information Technology,Information Technology,55.0,45.0,-10.0
2026-02-13,INTU,INTUIT INC.,Information Technology,Information Technology,61.0,-0.0,-61.0
2026-02-13,INVH,INVITATION HOMES INC.,Real Estate,Real Estate,-25.0,-19.0,6.0
2026-02-13,IP,INTERNATIONAL PAPER COMPANY,Materials,Materials,-38.0,-57.0,-19.0
2026-02-13,IQV,IQVIA HOLDINGS INC,Health Care,Health Care,-4.0,-0.0,4.0
2026-02-13,IR,INGERSOLL RAND INC.,Industrials,Industrials,-21.0,-47.0,-26.0
2026-02-13,IRM,IRON MOUNTAIN INC.,Real Estate,Real Estate,-11.0,-41.0,-30.0
2026-02-13,ISRG,"INTUITIVE SURGICAL, INC.",Health Care,Health Care,30.0,25.0,-5.0
2026-02-13,IT,"GARTNER, INC.",Information Technology,Information Technology,53.0,0.0,-53.0
2026-02-13,ITW,ILLINOIS TOOL WORKS INC.,Industrials,Industrials,-65.0,-60.0,5.0
2026-02-13,IVZ,INVESCO LTD.,Financials,Financials,22.0,-9.0,-31.0
2026-02-13,IWD,ISHARES:RUSS 1000 VL ETF,,Sector & Style ETFs,73.0,15.0,-58.0
2026-02-13,IWF,ISHARES:RUSS 1000 GR ETF,,Sector & Style ETFs,-7.0,-3.0,4.0
2026-02-13,IWM,ISHARES:RUSS 2000 ETF,,Sector & Style ETFs,49.0,54.0,5.0
2026-02-13,J,JACOBS SOLUTIONS INC.,Industrials,Industrials,26.0,48.0,22.0
2026-02-13,JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,Industrials,61.0,20.0,-41.0
2026-02-13,JBL,JABIL INC.,Information Technology,Information Technology,65.0,35.0,-30.0
2026-02-13,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Industrials,-52.0,-23.0,29.0
2026-02-13,JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,Financials,18.0,-6.0,-24.0
2026-02-13,JNJ,JOHNSON & JOHNSON,Health Care,Health Care,-34.0,-19.0,15.0
2026-02-13,JNK,SPDR BBG HIGH YIELD BD,,Bonds,34.0,7.0,-27.0
2026-02-13,JPM,JPMORGAN CHASE & CO.,Financials,Financials,47.0,64.0,17.0
2026-02-13,KDP,KEURIG DR PEPPER INC.,Consumer Staples,Consumer Staples,11.0,1.0,-10.0
2026-02-13,KEY,KEYCORP,Financials,Financials,114.0,71.0,-43.0
2026-02-13,KEYS,"KEYSIGHT TECHNOLOGIES, INC.",Information Technology,Information Technology,0.0,33.0,33.0
2026-02-13,KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,Consumer Staples,-26.0,-20.0,6.0
2026-02-13,KIM,KIMCO REALTY .,Real Estate,Real Estate,-30.0,-35.0,-5.0
2026-02-13,KKR,KKR & CO. INC.,Financials,Financials,25.0,-9.0,-34.0
2026-02-13,KLAC,KLA ,Information Technology,Information Technology,77.0,61.0,-16.0
2026-02-13,KMB,KIMBERLY-CLARK ,Consumer Staples,Consumer Staples,-5.0,-9.0,-4.0
2026-02-13,KMI,"KINDER MORGAN, INC.",Energy,Energy,-23.0,-54.0,-31.0
2026-02-13,KO,THE COCA-COLA COMPANY,Consumer Staples,Consumer Staples,-54.0,-30.0,24.0
2026-02-13,KR,THE KROGER CO.,Consumer Staples,Consumer Staples,-46.0,-20.0,26.0
2026-02-13,KVUE,KENVUE INC.,Consumer Staples,Consumer Staples,-7.0,-26.0,-19.0
2026-02-13,L,LOEWS ,Financials,Financials,-9.0,18.0,27.0
2026-02-13,LDOS,"LEIDOS HOLDINGS, INC.",Industrials,Industrials,-19.0,-12.0,7.0
2026-02-13,LEN,LENNAR ,Consumer Discretionary,Consumer Discretionary,-26.0,7.0,33.0
2026-02-13,LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,Health Care,11.0,23.0,12.0
2026-02-13,LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,Industrials,33.0,-2.0,-35.0
2026-02-13,LII,LENNOX INTERNATIONAL INC.,Industrials,Industrials,4.0,-31.0,-35.0
2026-02-13,LIN,LINDE PUBLIC LIMITED COMPANY,Materials,Materials,15.0,-2.0,-17.0
2026-02-13,LLY,ELI LILLY AND COMPANY,Health Care,Health Care,-15.0,-25.0,-10.0
2026-02-13,LMT,LOCKHEED MARTIN ,Industrials,Industrials,89.0,25.0,-64.0
2026-02-13,LNT,ALLIANT ENERGY ,Utilities,Utilities,-53.0,1.0,54.0
2026-02-13,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-47.0,-2.0,45.0
2026-02-13,LQD,ISHARES:IBOXX $IG CORP,Bonds,Bonds,-30.0,-28.0,2.0
2026-02-13,LRCX,LAM RESEARCH ,Information Technology,Information Technology,72.0,50.0,-22.0
2026-02-13,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,Consumer Discretionary,66.0,-13.0,-79.0
2026-02-13,LUV,SOUTHWEST AIRLINES CO.,Industrials,Industrials,41.0,7.0,-34.0
2026-02-13,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,Consumer Discretionary,-36.0,-4.0,32.0
2026-02-13,LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,Consumer Staples,-53.0,-53.0,0.0
2026-02-13,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,Materials,-97.0,-57.0,40.0
2026-02-13,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,Communication Services,28.0,-12.0,-40.0
2026-02-13,MA,MASTERCARD INC..,Financials,Financials,61.0,25.0,-36.0
2026-02-13,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,Real Estate,14.0,2.0,-12.0
2026-02-13,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,Consumer Discretionary,-18.0,-28.0,-10.0
2026-02-13,MAS,MASCO ,Industrials,Industrials,-42.0,-36.0,6.0
2026-02-13,MCD,MCDONALD'S ,Consumer Discretionary,Consumer Discretionary,-12.0,-20.0,-8.0
2026-02-13,MCHI,ISHARES:MSCI CHINA,,Foreign,-43.0,4.0,47.0
2026-02-13,MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,Information Technology,90.0,6.0,-84.0
2026-02-13,MCK,MCKESSON ,Health Care,Health Care,-26.0,-17.0,9.0
2026-02-13,MCO,MOODY'S ,Financials,Financials,50.0,0.0,-50.0
2026-02-13,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,Consumer Staples,-84.0,-9.0,75.0
2026-02-13,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,Health Care,-7.0,16.0,23.0
2026-02-13,MDY,SPDR S&P MIDCAP 400 ETF,,Sector & Style ETFs,28.0,-3.0,-31.0
2026-02-13,MET,"METLIFE, INC.",Financials,Financials,34.0,-32.0,-66.0
2026-02-13,META,"META PLATFORMS, INC.",Communication Services,Communication Services,-13.0,-34.0,-21.0
2026-02-13,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Consumer Discretionary,28.0,8.0,-20.0
2026-02-13,MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,Consumer Staples,3.0,-17.0,-20.0
2026-02-13,MLM,"MARTIN MARIETTA MATERIALS, INC.",Materials,Materials,-64.0,-20.0,44.0
2026-02-13,MMM,3M COMPANY,Industrials,Industrials,-84.0,-49.0,35.0
2026-02-13,MNST,MONSTER BEVERAGE ,Consumer Staples,Consumer Staples,7.0,6.0,-1.0
2026-02-13,MO,"ALTRIA GROUP, INC.",Consumer Staples,Consumer Staples,-45.0,-31.0,14.0
2026-02-13,MOH,"MOLINA HEALTHCARE, INC.",Health Care,Health Care,53.0,0.0,-53.0
2026-02-13,MOS,THE MOSAIC COMPANY,Materials,Materials,-37.0,-10.0,27.0
2026-02-13,MP,MP MATERIALS CORP,,MR Discretion,-31.0,-8.0,23.0
2026-02-13,MPC,MARATHON PETROLEUM ,Energy,Energy,-75.0,-95.0,-20.0
2026-02-13,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",Information Technology,Information Technology,47.0,14.0,-33.0
2026-02-13,MRK,"MERCK & CO., INC.",Health Care,Health Care,-34.0,-69.0,-35.0
2026-02-13,MRNA,"MODERNA, INC.",Health Care,Health Care,40.0,-7.0,-47.0
2026-02-13,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Financials,Financials,33.0,-24.0,-57.0
2026-02-13,MS,MORGAN STANLEY,Financials,Financials,-60.0,-36.0,24.0
2026-02-13,MSCI,MSCI INC.,Financials,Financials,94.0,48.0,-46.0
2026-02-13,MSFT,MICROSOFT ,Information Technology,Information Technology,63.0,37.0,-26.0
2026-02-13,MSI,"MOTOROLA SOLUTIONS, INC.",Information Technology,Information Technology,-10.0,-17.0,-7.0
2026-02-13,MTB,M&T BANK ,Financials,Financials,62.0,17.0,-45.0
2026-02-13,MTCH,"MATCH GROUP, INC.",Communication Services,Communication Services,-23.0,8.0,31.0
2026-02-13,MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,Health Care,-26.0,36.0,62.0
2026-02-13,MTUM,ISHARES:MSCI USA MOM FCT,,Sector & Style ETFs,50.0,18.0,-32.0
2026-02-13,MU,"MICRON TECHNOLOGY, INC.",Information Technology,Information Technology,-8.0,-8.0,0.0
2026-02-13,MUB,ISHARES:NATL MUNI BOND,,Bonds,68.0,58.0,-10.0
2026-02-13,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,Consumer Discretionary,68.0,8.0,-60.0
2026-02-13,NDAQ,"NASDAQ, INC.",Financials,Financials,43.0,0.0,-43.0
2026-02-13,NDSN,NORDSON ,Industrials,Industrials,-2.0,-33.0,-31.0
2026-02-13,NDX,NASDAQ 100 INDEX,,Indices,31.0,-15.0,-46.0
2026-02-13,NEE,"NEXTERA ENERGY, INC.",Utilities,Utilities,-38.0,-8.0,30.0
2026-02-13,NEM,NEWMONT ,Materials,Materials,2.0,-16.0,-18.0
2026-02-13,NFLX,"NETFLIX, INC.",Communication Services,Communication Services,-63.0,-35.0,28.0
2026-02-13,NI,NISOURCE INC.,Utilities,Utilities,-19.0,13.0,32.0
2026-02-13,NKE,"NIKE, INC.",Consumer Discretionary,Consumer Discretionary,17.0,-10.0,-27.0
